"","name","id","class","mass","fall_found","year","lat","long"
"503","OMalley ",54937,"L6",3.4,"Found",2011,-30.75806,131.44803
"504","OMalley ",54938,"H4",8.4,"Found",2011,-30.93383,131.36169
"505","OMalley ",54939,"L5",52.9,"Found",2011,-30.93417,131.36111
"506","OMalley ",54940,"L6",33.6,"Found",2011,-30.89344,131.39
"507","OMalley ",54941,"L4",14.1,"Found",2011,-30.89281,131.39142
"508","OMalley ",54942,"L4",7.3,"Found",2011,-30.88561,131.38197
"509","OMalley ",54943,"H6",9.4,"Found",2011,-30.88517,131.38011
"510","OMalley ",54944,"L5",63.9,"Found",2011,-30.53842,131.25525
"511","OMalley ",54945,"H4",17.5,"Found",2011,-30.54019,131.25508
"512","OMalley ",54946,"L6",4.9,"Found",2011,-30.54478,131.25928
"513","OMalley ",54947,"H4",105.2,"Found",2011,-30.98789,131.34067
"514","OMalley ",54948,"L6",786.3,"Found",2011,-30.98036,131.34456
"521","Griffith Wash",55289,"L6",93,"Found",2011,35.06639,-114.0975
"543","Dhofar ",55519,"L6",122.2,"Found",2011,19.28967,54.55092
"544","Dhofar ",55520,"H6",11.8,"Found",2011,18.95108,54.51506
"545","Dhofar ",55521,"H6",48.5,"Found",2011,18.91567,54.49519
"546","Dhofar ",55522,"L6",66.9,"Found",2011,18.93672,54.476
"552","Pingrup",55547,"H5-melt breccia",1213,"Found",2011,-33.58316,118.65662
"553","Sayh al Uhaymir ",55553,"L6",154,"Found",2011,21.10707,57.04363
"554","Sayh al Uhaymir ",55554,"L6",34,"Found",2011,21.0597,57.27632
"555","Sayh al Uhaymir ",55555,"L6",120,"Found",2011,21.05918,57.2762
"556","Sayh al Uhaymir ",55556,"H6",3298,"Found",2011,20.76578,57.28332
"557","Sayh al Uhaymir ",55557,"H6",2850,"Found",2011,20.51228,57.28327
"558","Sayh al Uhaymir ",55558,"L5/6",3404,"Found",2011,20.51182,57.28693
"559","Sayh al Uhaymir ",55559,"H5",670,"Found",2011,20.38848,57.00298
"560","Jiddat al Harasis ",55560,"H4",80,"Found",2011,19.97092,56.4421
"561","Ramlat as Sahmah ",55561,"L6",80,"Found",2011,20.31322,56.48333
"562","Ramlat as Sahmah ",55562,"H5",263,"Found",2011,20.33245,56.47362
"563","Jiddat al Harasis ",55563,"L5",56,"Found",2011,19.82982,56.4428
"564","Jiddat al Harasis ",55564,"L6",1225,"Found",2011,19.65282,55.74852
"565","Dhofar ",55565,"H6",444,"Found",2011,19.13703,54.82478
"566","Dhofar ",55566,"LL5/6",262,"Found",2011,19.17098,54.69008
"567","Dhofar ",55567,"L6",143,"Found",2011,19.04562,54.58178
"568","Dhofar ",55568,"H6",930,"Found",2011,19.05822,54.57192
"569","Dhofar ",55569,"L6",2170,"Found",2011,18.99227,54.47117
"570","Dhofar ",55570,"L6",800,"Found",2011,18.72397,54.5406
"571","Dhofar ",55571,"H6",2724,"Found",2011,18.5979,54.45062
"572","Dhofar ",55572,"L5",50000,"Found",2011,18.67877,54.2876
"573","Dhofar ",55573,"L6",1218,"Found",2011,18.39778,54.49128
"574","Dhofar ",55574,"L6",420,"Found",2011,18.3347,54.4026
"575","Dhofar ",55575,"H6",883,"Found",2011,18.36015,54.39437
"576","Dhofar ",55576,"LL6",3150,"Found",2011,18.35967,54.40705
"577","Dhofar ",55577,"L6",3695,"Found",2011,18.36002,54.40972
"578","Dhofar ",55578,"L6",256,"Found",2011,18.88617,54.46905
"579","Dhofar ",55579,"H6",63,"Found",2011,18.9914,54.68027
"580","Dhofar ",55580,"H6",545,"Found",2011,19.1052,54.80602
"581","Dhofar ",55581,"H5",422,"Found",2011,19.13905,54.87353
"582","Dhofar ",55582,"H6",2266,"Found",2011,19.179,54.93267
"583","Jiddat al Harasis ",55583,"L5",720,"Found",2011,19.7803,56.5026
"584","Sayh al Uhaymir ",55586,"Eucrite-pmict",32.4,"Found",2011,20.39561,56.63589
"586","Khatyrka",55600,"CV3",0.1,"Found",2011,62.65316,174.50043
"587","Dhofar ",55603,"Martian (shergottite)",6.1,"Found",2011,18.322,54.148
"588","Shalim ",55604,"L6",184,"Found",2011,18.974,55.089
"589","Paposo ",55618,"H6",368,"Found",2011,-25,-70.46667
"591","Alkali Flat",55662,"L5",28,"Found",2011,32.306,-108.9038
"593","Rio Rancho",55670,"L6",1001,"Found",2011,35.3,-106.63333
"602","El Mdano ",55697,"L6",22.6,"Found",2011,-24.85,-70.53333
"603","El Mdano ",55698,"H4",24.8,"Found",2011,-24.85,-70.53333
"604","El Mdano ",55699,"L6",44.4,"Found",2011,-24.85,-70.53333
"605","El Mdano ",55700,"H5",319,"Found",2011,-24.85,-70.53333
"606","El Mdano ",55701,"H4",40.1,"Found",2011,-24.85,-70.53333
"607","El Mdano ",55702,"H4",57.9,"Found",2011,-24.85,-70.53333
"608","El Mdano ",55703,"H5",118,"Found",2011,-24.85,-70.53333
"609","El Mdano ",55704,"H4",138,"Found",2011,-24.85,-70.53333
"610","El Mdano ",55705,"H5",52,"Found",2011,-24.85,-70.53333
"611","El Mdano ",55706,"L6",28.9,"Found",2011,-24.85,-70.53333
"612","El Mdano ",55707,"H5",66.5,"Found",2011,-24.85,-70.53333
"613","El Mdano ",55708,"H4/5",17.9,"Found",2011,-24.85,-70.53333
"614","El Mdano ",55709,"H5",46.5,"Found",2011,-24.85,-70.53333
"615","El Mdano ",55710,"H6",34.3,"Found",2011,-24.85,-70.53333
